Class_Index,Class_Name,Train_Count,Test_Count,Total_Count,Distribution_%
0,ARP_Spoofing_train,16047,0,16047,0.18287152395101866
1,Benign_train,192732,0,192732,2.1963728144904175
2,MQTT-DDoS-Connect_Flood_train,173036,0,173036,1.9719173065612554
3,MQTT-DDoS-Publish_Flood_train,27623,0,27623,0.3147915564341614
4,MQTT-DoS-Connect_Flood_train,12773,0,12773,0.14556103791527147
5,MQTT-DoS-Publish_Flood_train,44376,0,44376,0.505708652511398
6,MQTT-Malformed_Data_train,5130,0,5130,0.058461451851980165
7,Recon-OS_Scan_train,16832,0,16832,0.19181737964376805
8,Recon-Ping_Sweep_train,740,0,740,0.008433035939661855
9,Recon-Port_Scan_train,83981,0,83981,0.9570470152010031
10,Recon-VulScan_train,2173,0,2173,0.024763496076871908
11,TCP_IP-DDoS-ICMP1_train,194938,0,194938,2.22151237838622
12,TCP_IP-DDoS-ICMP2_train,194818,0,194818,2.2201448590446535
13,TCP_IP-DDoS-ICMP3_train,189710,0,189710,2.1619341190719603
14,TCP_IP-DDoS-ICMP4_train,192741,0,192741,2.196475378441035
15,TCP_IP-DDoS-ICMP5_train,195032,0,195032,2.2225836018704475
16,TCP_IP-DDoS-ICMP6_train,190875,0,190875,2.1752104526796714
17,TCP_IP-DDoS-ICMP7_train,186022,0,186022,2.1199056913078076
18,TCP_IP-DDoS-ICMP8_train,193340,0,193340,2.2033015791543558
19,TCP_IP-DDoS-SYN1_train,199390,0,199390,2.272247345958348
20,TCP_IP-DDoS-SYN2_train,203669,0,203669,2.3210108064797166
21,TCP_IP-DDoS-SYN3_train,202023,0,202023,2.3022529995112255
22,TCP_IP-DDoS-SYN4_train,196880,0,196880,2.243643399730576
23,TCP_IP-DDoS-TCP1_train,202311,0,202311,2.305535045930986
24,TCP_IP-DDoS-TCP2_train,197081,0,197081,2.2459339946277
25,TCP_IP-DDoS-TCP3_train,204075,0,204075,2.325637580252018
26,TCP_IP-DDoS-TCP4_train,200998,0,200998,2.2905721051353427
27,TCP_IP-DDoS-UDP1_train,206170,0,206170,2.3495121887568713
28,TCP_IP-DDoS-UDP2_train,207295,0,207295,2.3623326825840603
29,TCP_IP-DDoS-UDP3_train,206604,0,206604,2.354458050375538
30,TCP_IP-DDoS-UDP4_train,206343,0,206343,2.35148369580763
31,TCP_IP-DDoS-UDP5_train,205507,0,205507,2.341956644394715
32,TCP_IP-DDoS-UDP6_train,202247,0,202247,2.3048057022821506
33,TCP_IP-DDoS-UDP7_train,197685,0,197685,2.2528171753135866
34,TCP_IP-DDoS-UDP8_train,204105,0,204105,2.3259794600874093
35,TCP_IP-DoS-ICMP1_train,104507,0,104507,1.190961198576002
36,TCP_IP-DoS-ICMP2_train,96977,0,96977,1.1051493598926863
37,TCP_IP-DoS-ICMP3_train,108686,0,108686,1.2385850596460655
38,TCP_IP-DoS-ICMP4_train,106122,0,106122,1.2093657297145886
39,TCP_IP-DoS-SYN1_train,111431,0,111431,1.2698670645844057
40,TCP_IP-DoS-SYN2_train,111647,0,111647,1.272328599399226
41,TCP_IP-DoS-SYN3_train,108190,0,108190,1.2329326463675894
42,TCP_IP-DoS-SYN4_train,110635,0,110635,1.2607958529520127
43,TCP_IP-DoS-TCP1_train,95407,0,95407,1.0872576485071874
44,TCP_IP-DoS-TCP2_train,95521,0,95521,1.0885567918816759
45,TCP_IP-DoS-TCP3_train,95968,0,95968,1.093650801429012
46,TCP_IP-DoS-TCP4_train,93488,0,93488,1.0653887350366318
47,TCP_IP-DoS-UDP1_train,137011,0,137011,1.5613766042283925
48,TCP_IP-DoS-UDP2_train,140492,0,140492,1.6010460611283424
49,TCP_IP-DoS-UDP3_train,146146,0,146146,1.665479014105164
50,TCP_IP-DoS-UDP4_train,143301,0,143301,1.6330574097155184
51,Unknown,0,1614182,1614182,18.39520921507467
